flight_id,route,date,aircraft,capacity,base_price
FL00050,CHI-MIA,2023-04-14,A321,150,243.2
FL00051,CHI-MIA,2023-04-22,B737,220,258.79
FL00052,NYC-BOS,2023-12-04,B737,180,228.57
FL00053,NYC-CHI,2023-07-27,B737,220,299.81
FL00054,CHI-MIA,2023-05-08,A321,220,238.5
FL00055,NYC-LAX,2023-01-22,A321,220,443.93
FL00056,LAX-SF,2023-10-04,A321,180,242.81
FL00057,NYC-LAX,2023-11-13,A321,150,539.2
FL00058,NYC-LAX,2023-02-15,A320,180,398.44
FL00059,NYC-BOS,2023-08-21,B737,220,246.17
FL00060,NYC-BOS,2023-07-07,A321,220,260.25
FL00061,NYC-LAX,2023-06-10,A321,150,353.7
FL00062,NYC-LAX,2023-02-23,B737,220,374.35
FL00063,NYC-CHI,2023-10-07,A321,180,325.4
FL00064,NYC-CHI,2023-09-30,A321,220,256.79
FL00065,NYC-LAX,2023-09-03,A320,220,331.12
FL00066,NYC-CHI,2023-01-13,A321,180,262.49
FL00067,CHI-MIA,2023-11-09,B737,220,214.5
FL00068,CHI-MIA,2023-05-23,A321,220,264.85
FL00069,CHI-MIA,2023-10-15,B737,180,235.44
FL00070,NYC-LAX,2023-07-09,B737,220,404.09
FL00071,NYC-BOS,2023-02-27,B737,180,235.84
FL00072,CHI-MIA,2023-09-21,A320,150,282.67
FL00073,NYC-BOS,2023-07-15,A320,220,238.26
FL00074,LAX-SF,2023-05-04,A321,150,263.14
FL00075,NYC-CHI,2023-05-25,B737,220,247.68
FL00076,NYC-CHI,2023-08-17,A321,180,220.38
FL00077,NYC-CHI,2023-10-06,A320,180,371.25
FL00078,NYC-LAX,2023-01-01,B737,180,366.13
FL00079,NYC-CHI,2023-02-17,B737,180,310.84
FL00080,NYC-BOS,2023-09-04,B737,150,317.34
FL00081,LAX-SF,2023-03-27,B737,220,263.31
FL00082,CHI-MIA,2023-12-07,B737,180,273.24
FL00083,CHI-MIA,2023-08-10,A320,180,237.4
FL00084,NYC-BOS,2023-09-07,B737,220,254.18
FL00085,LAX-SF,2023-11-21,B737,150,279.18
FL00086,NYC-CHI,2023-12-06,A320,220,361.78
FL00087,CHI-MIA,2023-02-02,B737,220,313.99
FL00088,NYC-BOS,2023-06-17,A321,150,191.44
FL00089,NYC-CHI,2023-01-12,A321,150,311.24
FL00090,NYC-LAX,2023-03-31,B737,150,368.87
FL00091,NYC-CHI,2023-07-15,A321,150,258.28
FL00092,LAX-SF,2023-10-04,A320,150,289.79
FL00093,NYC-BOS,2023-12-23,A320,180,272.42
FL00094,NYC-LAX,2023-04-06,A321,180,430.52
FL00095,NYC-BOS,2023-01-13,A320,220,224.12
FL00096,NYC-LAX,2023-03-25,A320,180,439.53
FL00097,NYC-LAX,2023-07-06,B737,150,419.6
FL00098,CHI-MIA,2023-05-24,A321,180,246.26
FL00099,NYC-BOS,2023-01-25,A320,220,206.78
FL00100,NYC-BOS,2023-02-08,A321,150,258.08
FL00101,NYC-BOS,2023-07-05,A320,180,252.27
FL00102,NYC-BOS,2023-08-09,A321,220,229.69
FL00103,LAX-SF,2023-08-27,A321,180,262.39
FL00104,CHI-MIA,2023-08-18,A320,150,233.09
FL00105,NYC-BOS,2023-10-10,B737,150,235.87
FL00106,NYC-BOS,2023-05-16,B737,220,256.96
FL00107,NYC-BOS,2023-05-25,A320,180,230.07
FL00108,LAX-SF,2023-06-16,A320,180,290.8
FL00109,LAX-SF,2023-01-19,B737,180,249.43
FL00110,NYC-BOS,2023-02-27,B737,180,219.92
FL00111,CHI-MIA,2023-12-27,A320,220,275.21
FL00112,CHI-MIA,2023-07-10,B737,150,284.0
FL00113,CHI-MIA,2023-11-08,A320,150,173.07
FL00114,NYC-CHI,2023-11-13,A320,150,345.71
FL00115,NYC-BOS,2023-07-22,B737,150,244.96
FL00116,LAX-SF,2023-02-16,A320,180,258.56
FL00117,NYC-LAX,2023-05-23,A320,180,507.66
FL00118,LAX-SF,2023-01-12,A321,150,226.98
FL00119,NYC-CHI,2023-01-08,B737,150,318.51
FL00120,NYC-CHI,2023-02-10,B737,150,258.37
FL00121,CHI-MIA,2023-05-25,A321,180,230.64
FL00122,NYC-BOS,2023-02-15,A320,150,201.98
FL00123,LAX-SF,2023-03-23,A320,180,300.54
FL00124,NYC-LAX,2023-11-08,B737,180,313.48
FL00125,NYC-CHI,2023-01-05,A321,150,297.06
FL00126,NYC-LAX,2023-06-26,B737,220,385.89
FL00127,LAX-SF,2023-03-04,A320,180,284.61
FL00128,NYC-LAX,2023-04-08,A320,150,381.25
FL00129,NYC-LAX,2023-11-07,A321,220,412.97
FL00130,NYC-BOS,2023-01-23,B737,220,259.07
FL00131,NYC-BOS,2023-07-21,A320,150,236.5
FL00132,NYC-LAX,2023-02-20,B737,150,431.14
FL00133,NYC-BOS,2023-10-15,A320,180,249.95
FL00134,LAX-SF,2023-09-25,A321,180,237.22
FL00135,NYC-LAX,2023-08-10,B737,150,420.69
FL00136,NYC-BOS,2023-03-07,A320,180,290.26
FL00137,LAX-SF,2023-07-11,A321,220,198.07
FL00138,LAX-SF,2023-11-04,A321,220,293.33
FL00139,NYC-LAX,2023-12-01,B737,150,481.43
FL00140,LAX-SF,2023-10-12,A320,150,208.6
FL00141,CHI-MIA,2023-11-26,B737,150,253.84
FL00142,NYC-CHI,2023-08-23,A320,180,280.75
FL00143,LAX-SF,2023-04-21,A321,220,216.96
FL00144,NYC-LAX,2023-06-04,A321,220,424.38
FL00145,NYC-BOS,2023-05-02,B737,150,268.48
FL00146,NYC-CHI,2023-01-22,B737,150,278.85
FL00147,NYC-BOS,2023-05-13,B737,150,206.98
FL00148,NYC-CHI,2023-08-06,A320,180,292.34
FL00149,NYC-BOS,2023-10-09,A321,150,265.44
FL00150,LAX-SF,2023-12-03,A321,150,286.14
FL00151,NYC-CHI,2023-12-21,A320,150,278.78
FL00152,NYC-CHI,2023-08-04,A321,180,276.97
FL00153,NYC-CHI,2023-01-14,A320,180,334.67
FL00154,LAX-SF,2023-10-01,A321,150,264.13
FL00155,NYC-CHI,2023-01-15,B737,220,311.75
FL00156,CHI-MIA,2023-09-30,B737,220,235.34
FL00157,NYC-CHI,2023-05-25,B737,150,286.01
FL00158,NYC-CHI,2023-04-19,A321,150,215.57
FL00159,NYC-CHI,2023-02-03,A321,220,383.38
FL00160,CHI-MIA,2023-04-11,A321,180,291.73
FL00161,CHI-MIA,2023-11-11,B737,180,250.83
FL00162,NYC-LAX,2023-10-04,A320,180,406.37
FL00163,CHI-MIA,2023-11-14,B737,220,273.92
FL00164,NYC-LAX,2023-03-03,B737,180,407.26
FL00165,NYC-LAX,2023-07-22,B737,220,316.53
FL00166,CHI-MIA,2023-04-28,A320,180,266.3
FL00167,CHI-MIA,2023-01-20,A321,150,236.24
FL00168,NYC-CHI,2023-10-20,B737,180,287.73
FL00169,LAX-SF,2023-09-16,A321,150,245.54
FL00170,NYC-CHI,2023-05-18,A320,220,283.7
FL00171,CHI-MIA,2023-06-17,B737,150,231.94
FL00172,NYC-BOS,2023-09-22,A320,150,272.81
FL00173,LAX-SF,2023-04-04,A321,180,233.21
FL00174,NYC-BOS,2023-03-17,A321,150,295.15
FL00175,LAX-SF,2023-10-23,A321,150,267.38
FL00176,NYC-BOS,2023-10-18,B737,180,264.92
FL00177,NYC-BOS,2023-12-05,A320,150,258.69
FL00178,CHI-MIA,2023-02-11,A320,150,312.26
FL00179,NYC-LAX,2023-04-14,B737,220,366.18
FL00180,NYC-LAX,2023-05-23,A321,220,288.48
FL00181,NYC-LAX,2023-08-13,A320,150,434.34
FL00182,NYC-BOS,2023-07-17,A321,220,179.81
FL00183,LAX-SF,2023-02-11,A321,220,260.15
FL00184,NYC-BOS,2023-08-19,A320,180,237.54
FL00185,LAX-SF,2023-04-07,A320,180,279.1
FL00186,NYC-LAX,2023-11-18,B737,180,436.04
FL00187,NYC-CHI,2023-11-26,A320,220,341.5
FL00188,CHI-MIA,2023-06-06,A320,220,234.7
FL00189,NYC-BOS,2023-11-20,A320,220,278.92
FL00190,LAX-SF,2023-10-26,A321,180,279.21
FL00191,LAX-SF,2023-09-11,A320,220,255.12
FL00192,NYC-CHI,2023-08-06,B737,220,333.42
FL00193,NYC-BOS,2023-04-21,B737,180,269.3
FL00194,CHI-MIA,2023-11-24,A320,150,296.94
FL00195,NYC-CHI,2023-02-20,A320,220,307.36
FL00196,LAX-SF,2023-10-29,A321,150,253.0
FL00197,NYC-BOS,2023-04-20,A320,180,262.57
FL00198,NYC-LAX,2023-02-24,A321,180,380.54
FL00199,LAX-SF,2023-11-05,A321,150,282.13
FL00200,NYC-BOS,2023-10-18,B737,150,232.52
FL00201,CHI-MIA,2023-03-16,A320,180,248.04
FL00202,LAX-SF,2023-01-17,B737,220,274.22
FL00203,LAX-SF,2023-06-28,A321,220,264.15
FL00204,CHI-MIA,2023-12-10,B737,150,204.11
FL00205,NYC-LAX,2023-03-04,A320,150,354.65
FL00206,NYC-CHI,2023-12-03,A320,150,271.17
FL00207,CHI-MIA,2023-05-28,A320,150,226.03
FL00208,NYC-BOS,2023-09-14,A320,220,245.06
FL00209,NYC-BOS,2023-07-30,B737,220,236.56
FL00210,NYC-LAX,2023-10-13,A320,150,293.8
FL00211,LAX-SF,2023-03-19,B737,150,257.04
FL00212,CHI-MIA,2023-08-10,A320,180,304.54
FL00213,LAX-SF,2023-09-21,A321,150,207.77
FL00214,NYC-CHI,2023-02-24,A320,220,268.89
FL00215,CHI-MIA,2023-12-15,B737,220,286.67
FL00216,LAX-SF,2023-09-12,A321,220,184.77
FL00217,NYC-BOS,2023-08-27,B737,150,278.88
FL00218,CHI-MIA,2023-10-18,A321,180,255.18
FL00219,LAX-SF,2023-08-11,A320,180,231.9
FL00220,NYC-CHI,2023-05-31,A321,150,289.72
FL00221,NYC-BOS,2023-02-05,A321,150,291.02
FL00222,NYC-LAX,2023-01-11,A321,150,447.91
FL00223,NYC-CHI,2023-07-14,A321,180,237.73
FL00224,NYC-BOS,2023-09-13,A320,180,268.18
FL00225,NYC-LAX,2023-12-21,B737,150,448.59
FL00226,NYC-LAX,2023-07-28,B737,220,398.45
FL00227,NYC-LAX,2023-10-08,B737,150,368.86
FL00228,LAX-SF,2023-01-29,B737,180,237.46
FL00229,NYC-BOS,2023-10-20,B737,220,255.88
FL00230,NYC-CHI,2023-06-02,A320,150,260.87
FL00231,NYC-CHI,2023-12-28,A321,150,283.03
FL00232,LAX-SF,2023-11-05,B737,150,230.61
FL00233,NYC-CHI,2023-07-09,A320,150,275.01
FL00234,CHI-MIA,2023-07-12,B737,220,250.78
FL00235,LAX-SF,2023-10-09,A320,220,274.73
FL00236,LAX-SF,2023-11-06,A321,220,246.26
FL00237,NYC-CHI,2023-06-01,A321,220,303.81
FL00238,NYC-LAX,2023-05-28,B737,220,408.95
FL00239,LAX-SF,2023-12-03,A321,220,326.8
FL00240,NYC-CHI,2023-03-14,A320,180,296.16
FL00241,NYC-LAX,2023-08-05,A320,150,438.4
FL00242,NYC-LAX,2023-05-11,A321,220,480.06
FL00243,NYC-CHI,2023-04-12,A320,220,229.49
FL00244,CHI-MIA,2023-11-01,A321,220,284.32
FL00245,NYC-BOS,2023-02-26,A320,180,210.42
FL00246,LAX-SF,2023-03-22,A321,150,243.21
FL00247,NYC-BOS,2023-07-19,B737,180,247.9
FL00248,LAX-SF,2023-12-31,B737,150,200.17
FL00249,NYC-CHI,2023-01-16,A321,180,332.74
FL00250,NYC-BOS,2023-06-25,A321,150,254.02
FL00251,NYC-CHI,2023-03-23,A321,220,354.27
FL00252,NYC-LAX,2023-06-01,B737,220,264.38
FL00253,LAX-SF,2023-05-11,A320,180,218.73
FL00254,CHI-MIA,2023-01-04,A321,220,288.34
FL00255,NYC-BOS,2023-07-29,B737,150,170.58
FL00256,CHI-MIA,2023-11-07,B737,180,271.89
FL00257,LAX-SF,2023-09-08,B737,180,252.47
FL00258,LAX-SF,2023-10-29,A321,220,281.96
FL00259,CHI-MIA,2023-11-14,A320,180,318.97
FL00260,CHI-MIA,2023-09-23,A321,150,239.11
FL00261,NYC-LAX,2023-12-06,A321,220,356.37
FL00262,LAX-SF,2023-06-07,A320,180,273.81
FL00263,NYC-CHI,2023-10-20,B737,180,298.61
FL00264,NYC-LAX,2023-10-20,A320,220,411.71
FL00265,NYC-BOS,2023-07-17,A320,220,274.95
FL00266,NYC-CHI,2023-02-21,A320,220,308.3
FL00267,CHI-MIA,2023-03-04,A321,150,268.54
FL00268,NYC-CHI,2023-11-09,A321,180,279.85
FL00269,NYC-CHI,2023-09-16,A320,150,318.74
FL00270,NYC-LAX,2023-01-20,A320,220,425.41
FL00271,NYC-CHI,2023-06-27,A320,150,306.79
FL00272,LAX-SF,2023-09-26,A321,180,249.91
FL00273,NYC-BOS,2023-11-25,A321,150,182.63
FL00274,LAX-SF,2023-07-14,A320,150,223.65
FL00275,NYC-LAX,2023-01-09,B737,180,425.34
FL00276,LAX-SF,2023-05-04,A321,180,243.98
FL00277,LAX-SF,2023-02-06,A320,180,270.84
FL00278,NYC-BOS,2023-04-24,A320,150,218.18
FL00279,NYC-BOS,2023-04-25,B737,150,235.32
FL00280,NYC-CHI,2023-08-25,A321,150,341.77
FL00281,NYC-LAX,2023-12-02,B737,220,446.65
FL00282,LAX-SF,2023-12-29,A320,150,262.65
FL00283,NYC-BOS,2023-06-19,A320,150,259.53
FL00284,CHI-MIA,2023-08-23,A321,150,231.11
FL00285,NYC-BOS,2023-01-31,B737,150,244.99
FL00286,LAX-SF,2023-02-08,A320,180,254.4
FL00287,NYC-CHI,2023-03-18,B737,180,290.97
FL00288,NYC-BOS,2023-04-23,B737,220,250.1
FL00289,NYC-LAX,2023-12-20,A320,220,432.27
FL00290,LAX-SF,2023-03-15,B737,220,314.9
FL00291,NYC-LAX,2023-03-01,B737,220,427.86
FL00292,CHI-MIA,2023-07-11,B737,220,228.88
FL00293,NYC-LAX,2023-07-12,B737,150,370.67
FL00294,LAX-SF,2023-01-07,A321,150,307.32
FL00295,NYC-BOS,2023-05-14,A321,150,284.1
FL00296,LAX-SF,2023-01-26,B737,220,236.29
FL00297,NYC-CHI,2023-10-12,B737,180,303.56
FL00298,NYC-BOS,2023-10-15,A320,220,284.98
FL00299,NYC-CHI,2023-03-25,A321,180,248.79
FL00300,NYC-LAX,2023-01-21,B737,150,443.62
FL00301,NYC-BOS,2023-05-27,A321,180,276.94
FL00302,NYC-CHI,2023-11-16,A320,220,291.74
FL00303,NYC-LAX,2023-09-28,A320,180,525.78
FL00304,CHI-MIA,2023-05-25,B737,150,200.31
FL00305,NYC-BOS,2023-01-27,A320,220,263.8
FL00306,LAX-SF,2023-01-24,A320,150,268.23
FL00307,CHI-MIA,2023-02-15,B737,220,299.14
FL00308,CHI-MIA,2023-11-15,A320,180,295.03
FL00309,NYC-BOS,2023-12-10,A320,180,258.89
FL00310,NYC-LAX,2023-11-16,A320,180,397.96
FL00311,NYC-CHI,2023-04-05,B737,220,336.07
FL00312,NYC-LAX,2023-09-24,A320,180,463.73
FL00313,LAX-SF,2023-03-17,A320,150,322.06
FL00314,CHI-MIA,2023-08-30,A320,180,249.32
FL00315,CHI-MIA,2023-08-13,A320,180,242.58
FL00316,NYC-LAX,2023-04-13,A320,180,365.9
FL00317,NYC-CHI,2023-03-31,B737,220,339.56
FL00318,NYC-CHI,2023-11-01,B737,220,324.93
FL00319,LAX-SF,2023-05-03,A320,220,251.79
FL00320,NYC-CHI,2023-03-25,B737,180,274.12
FL00321,LAX-SF,2023-03-25,A321,220,314.68
FL00322,NYC-CHI,2023-05-07,A321,220,346.89
FL00323,NYC-LAX,2023-01-12,B737,180,367.43
FL00324,NYC-BOS,2023-05-27,A321,180,235.48
FL00325,CHI-MIA,2023-04-29,A320,150,233.11
FL00326,CHI-MIA,2023-07-30,B737,180,247.54
FL00327,NYC-BOS,2023-05-11,A320,220,244.73
FL00328,NYC-BOS,2023-07-26,A320,180,227.21
FL00329,NYC-LAX,2023-12-16,A321,150,395.41
FL00330,CHI-MIA,2023-01-20,A320,180,265.08
FL00331,CHI-MIA,2023-04-06,B737,150,237.72
FL00332,NYC-CHI,2023-09-19,B737,220,303.06
FL00333,NYC-CHI,2023-07-05,A321,220,359.06
FL00334,NYC-LAX,2023-01-08,A321,180,469.0
FL00335,CHI-MIA,2023-10-25,B737,220,259.71
FL00336,NYC-BOS,2023-11-12,A320,180,241.26
FL00337,NYC-BOS,2023-08-19,A321,180,284.46
FL00338,NYC-LAX,2023-01-28,A321,150,313.01
FL00339,NYC-CHI,2023-09-18,A321,150,344.31
FL00340,CHI-MIA,2023-10-30,A320,220,228.76
FL00341,LAX-SF,2023-04-28,B737,220,252.3
FL00342,NYC-CHI,2023-09-14,B737,150,248.68
FL00343,NYC-BOS,2023-11-09,A321,150,239.54
FL00344,NYC-LAX,2023-06-24,A321,150,382.54
FL00345,NYC-BOS,2023-04-30,A320,150,260.88
FL00346,CHI-MIA,2023-11-30,A321,150,288.96
FL00347,NYC-CHI,2023-10-20,A320,220,294.76
FL00348,NYC-BOS,2023-06-10,A321,150,218.95
FL00349,NYC-LAX,2023-01-12,A321,180,406.97
FL00350,NYC-LAX,2023-07-03,A321,220,422.63
FL00351,LAX-SF,2023-10-21,B737,220,283.25
FL00352,NYC-CHI,2023-12-07,A321,180,258.4
FL00353,NYC-LAX,2023-12-18,A321,150,440.26
FL00354,NYC-CHI,2023-04-24,A321,180,251.24
FL00355,NYC-CHI,2023-05-16,A320,180,314.94
FL00356,LAX-SF,2023-10-16,A320,180,265.21
FL00357,NYC-LAX,2023-05-22,A321,220,481.67
FL00358,NYC-CHI,2023-07-11,B737,180,254.15
FL00359,NYC-LAX,2023-03-30,A320,150,416.07
FL00360,NYC-BOS,2023-11-20,A321,150,262.66
FL00361,NYC-CHI,2023-05-12,A320,180,341.88
FL00362,NYC-CHI,2023-10-06,A320,150,322.8
FL00363,LAX-SF,2023-05-09,A320,220,253.61
FL00364,NYC-LAX,2023-03-06,A320,220,348.57
FL00365,CHI-MIA,2023-05-23,B737,220,223.45
FL00366,NYC-LAX,2023-08-12,A320,150,477.63
FL00367,NYC-LAX,2023-09-24,A321,180,482.1
FL00368,NYC-CHI,2023-09-22,B737,180,340.39
FL00369,LAX-SF,2023-11-24,A320,180,175.02
FL00370,NYC-BOS,2023-06-02,A320,180,318.73
FL00371,CHI-MIA,2023-10-31,A320,180,280.68
FL00372,LAX-SF,2023-10-29,A321,180,323.19
FL00373,NYC-CHI,2023-01-21,A321,220,330.36
FL00374,NYC-LAX,2023-09-28,A321,220,414.06
FL00375,CHI-MIA,2023-10-02,A320,150,248.99
FL00376,NYC-BOS,2023-06-06,B737,220,221.49
FL00377,CHI-MIA,2023-06-07,A321,180,220.31
FL00378,CHI-MIA,2023-12-16,B737,150,278.22
FL00379,LAX-SF,2023-04-18,A321,220,253.16
FL00380,NYC-LAX,2023-10-25,B737,150,333.3
FL00381,CHI-MIA,2023-11-06,B737,220,232.63
FL00382,NYC-CHI,2023-05-21,A321,220,302.55
FL00383,NYC-BOS,2023-01-26,B737,150,264.99
FL00384,NYC-CHI,2023-06-19,A320,150,248.14
FL00385,NYC-LAX,2023-10-20,B737,220,453.49
FL00386,CHI-MIA,2023-12-11,A321,180,222.61
FL00387,NYC-CHI,2023-08-30,A321,180,282.11
FL00388,CHI-MIA,2023-04-29,B737,150,232.42
FL00389,NYC-BOS,2023-10-20,A320,180,286.74
FL00390,LAX-SF,2023-03-19,B737,150,298.7
FL00391,NYC-BOS,2023-09-11,A320,150,236.96
FL00392,NYC-BOS,2023-02-11,B737,220,229.27
FL00393,NYC-BOS,2023-08-29,A321,150,261.7
FL00394,NYC-CHI,2023-02-05,A321,150,348.16
FL00395,NYC-BOS,2023-03-14,A320,220,216.98
FL00396,NYC-LAX,2023-02-18,A321,150,364.44
FL00397,CHI-MIA,2023-01-27,B737,150,209.64
FL00398,NYC-CHI,2023-10-27,A321,180,332.96
FL00399,NYC-BOS,2023-12-08,B737,220,270.85
FL00400,NYC-CHI,2023-04-26,A321,180,377.86
FL00401,CHI-MIA,2023-11-29,B737,150,289.34
FL00402,NYC-CHI,2023-05-01,B737,180,327.78
FL00403,CHI-MIA,2023-05-24,A320,220,222.6
FL00404,LAX-SF,2023-12-26,B737,150,241.53
FL00405,CHI-MIA,2023-10-13,A320,150,319.58
FL00406,NYC-CHI,2023-09-29,A321,150,315.73
FL00407,CHI-MIA,2023-05-22,B737,180,241.28
FL00408,NYC-BOS,2023-12-07,B737,150,237.77
FL00409,NYC-CHI,2023-11-27,A321,150,277.97
FL00410,NYC-CHI,2023-09-19,B737,220,332.53
FL00411,LAX-SF,2023-05-23,B737,220,252.45
FL00412,LAX-SF,2023-06-07,B737,180,247.03
FL00413,LAX-SF,2023-03-14,A321,180,236.98
FL00414,CHI-MIA,2023-01-25,B737,180,233.69
FL00415,NYC-CHI,2023-11-06,A320,150,336.49
FL00416,NYC-LAX,2023-08-26,B737,180,320.11
FL00417,NYC-BOS,2023-01-25,A321,220,226.01
FL00418,NYC-BOS,2023-03-20,B737,150,260.55
FL00419,CHI-MIA,2023-01-31,A320,150,163.35
FL00420,CHI-MIA,2023-06-09,A321,180,258.8
FL00421,NYC-BOS,2023-05-10,A321,180,221.0
FL00422,LAX-SF,2023-09-23,A320,220,262.52
FL00423,NYC-LAX,2023-09-24,B737,180,432.3
FL00424,NYC-LAX,2023-04-09,A321,220,468.72
FL00425,NYC-BOS,2023-09-20,A320,180,238.35
FL00426,CHI-MIA,2023-04-11,A321,150,255.11
FL00427,CHI-MIA,2023-08-19,A320,180,276.31
FL00428,NYC-BOS,2023-06-04,A321,220,270.21
FL00429,CHI-MIA,2023-08-17,B737,180,262.55
FL00430,NYC-CHI,2023-09-03,B737,220,295.93
FL00431,NYC-BOS,2023-11-10,B737,220,263.73
FL00432,NYC-BOS,2023-08-30,A320,180,214.19
FL00433,NYC-BOS,2023-12-04,A320,150,208.36
FL00434,LAX-SF,2023-11-04,A321,150,227.13
FL00435,NYC-BOS,2023-07-15,B737,180,238.31
FL00436,NYC-CHI,2023-08-09,A321,150,322.15
FL00437,CHI-MIA,2023-02-11,A320,180,258.55
FL00438,NYC-LAX,2023-05-09,A320,150,410.35
FL00439,NYC-CHI,2023-01-10,A320,150,296.49
FL00440,NYC-BOS,2023-10-17,A321,220,254.58
FL00441,LAX-SF,2023-03-20,B737,150,246.29
FL00442,NYC-BOS,2023-03-28,A321,150,279.28
FL00443,NYC-BOS,2023-03-28,A320,150,239.04
FL00444,LAX-SF,2023-05-28,A320,150,255.54
FL00445,NYC-BOS,2023-08-16,B737,220,286.01
FL00446,LAX-SF,2023-09-18,A321,220,230.29
FL00447,NYC-BOS,2023-12-18,B737,180,246.22
FL00448,CHI-MIA,2023-05-16,A320,220,228.48
FL00449,NYC-LAX,2023-02-18,A320,180,356.93
FL00450,NYC-LAX,2023-04-29,A320,150,355.98
FL00451,NYC-CHI,2023-06-13,B737,150,358.22
FL00452,CHI-MIA,2023-01-10,B737,220,303.98
FL00453,NYC-LAX,2023-06-02,B737,220,443.01
FL00454,NYC-CHI,2023-10-05,A320,180,214.82
FL00455,CHI-MIA,2023-06-21,B737,150,256.31
FL00456,NYC-BOS,2023-02-01,A321,180,245.06
FL00457,NYC-LAX,2023-01-18,A320,220,337.93
FL00458,CHI-MIA,2023-05-30,A321,180,268.17
FL00459,LAX-SF,2023-12-14,A320,180,261.99
FL00460,LAX-SF,2023-03-29,B737,220,230.46
FL00461,CHI-MIA,2023-06-20,A320,180,274.1
FL00462,LAX-SF,2023-01-19,A321,180,275.57
FL00463,NYC-BOS,2023-04-18,B737,220,288.69
FL00464,NYC-CHI,2023-12-30,B737,150,326.93
FL00465,NYC-BOS,2023-04-14,A321,150,257.35
FL00466,NYC-CHI,2023-01-10,A321,150,292.1
FL00467,NYC-BOS,2023-08-07,B737,220,234.56
FL00468,NYC-BOS,2023-08-22,A320,180,216.69
FL00469,NYC-CHI,2023-01-12,B737,180,268.6
FL00470,NYC-CHI,2023-01-20,A320,150,325.93
FL00471,LAX-SF,2023-03-11,A321,220,225.48
FL00472,CHI-MIA,2023-08-15,B737,180,187.18
FL00473,NYC-CHI,2023-11-06,A320,180,238.97
FL00474,NYC-LAX,2023-04-29,A320,150,463.13
FL00475,CHI-MIA,2023-01-03,A320,180,253.79
FL00476,CHI-MIA,2023-06-07,B737,180,229.36
FL00477,NYC-CHI,2023-07-07,A321,220,299.72
FL00478,LAX-SF,2023-03-17,B737,150,289.37
FL00479,NYC-CHI,2023-12-22,B737,150,189.06
FL00480,CHI-MIA,2023-04-23,B737,220,274.03
FL00481,NYC-LAX,2023-04-26,B737,220,438.65
FL00482,NYC-BOS,2023-07-17,A320,150,276.47
FL00483,CHI-MIA,2023-07-17,A321,220,259.11
FL00484,NYC-CHI,2023-04-17,B737,220,244.93
